Name,Library System,Latitude,Longitude,Address,City,Zip Code,County,Phone
Helen Murphy Branch,Huntington Beach Public Library,33.73112,-118.03235,15882 Graham St.,Huntington Beach,92649,Orange,(714) 375-5006
Huntington Beach Central Library,Huntington Beach Public Library,33.70194,-118.00452,7111 Talbert Ave.,Huntington Beach,92648,Orange,(714) 960-8836
Main Street Library,Huntington Beach Public Library,33.66201,-117.99917,525 Main St.,Huntington Beach,92648,Orange,(714) 375-5071
Oak View Branch,Huntington Beach Public Library,33.71155,-117.99416,17251 Oak Lane,Huntington Beach,92647,Orange,(714) 375-5068
Calipatria Branch Library,Imperial County Library,33.12545,-115.51724,105 S. Lake,Calipatria,92233,Imperial,(760) 348-2630
Heber Branch Library,Imperial County Library,32.73356,-115.52970,1132 Heber Ave.,Heber,92249,Imperial,(442) 265-7131
Holtville Branch Library,Imperial County Library,32.81307,-115.37984,101 E. Sixth,Holtville,92250,Imperial,(760) 356-2385
Salton City Library,Imperial County Library,33.27718,-115.96427,1209 Van Buren Road,Salton City,92275,Imperial,(760) 604-6956
Imperial Public Library,Imperial Public Library,32.84849,-115.56869,200 W. 9Th St.,Imperial,92251,Imperial,(760) 355-1332
Crenshaw-Imperial Library,Inglewood Public Library,33.93367,-118.32679,11141 Crenshaw Blvd,Inglewood,90303,Los Angeles,(310) 412-5403
Inglewood Public Library,Inglewood Public Library,33.96227,-118.35560,101 W. Manchester Blvd.,Inglewood,90301,Los Angeles,(310) 412-5380
Big Pine Branch Library,Inyo County Free Library,37.16169,-118.28898,500 S. Main St.,Big Pine,93513,Inyo,(760) 938-2420
Bishop Branch Library,Inyo County Free Library,37.36296,-118.39646,210 Academy Ave.,Bishop,93514,Inyo,(760) 873-5115
Furnace Creek Branch Library,Inyo County Free Library,36.50290,-116.87098,"201 Nevares Road, Cow Creek Road",Death Valley,92328,Inyo,(760) 786-2408
Inyo County Free Library,Inyo County Free Library,36.80357,-118.19962,168 N. Edwards St.,Independence,93526,Inyo,(760) 878-0260
Lone Pine Branch Library,Inyo County Free Library,36.60629,-118.06432,127 Bush Street,Lone Pine,93545,Inyo,(760) 876-5031
Tecopa Branch Library,Inyo County Free Library,35.87135,-116.23271,408 Tecopa Hot Springs Road,Tecopa,92389,Inyo,(760) 852-4171
Irwindale Public Library,Irwindale Public Library,34.10449,-117.93344,5050 N. Irwindale Ave.,Irwindale,91706,Los Angeles,(626) 430-2229
Arvin Branch Library,Kern County Library,35.21035,-118.83370,201 Campus Drive,Arvin,93203,Kern,(661) 854-5934
Baker Branch Library,Kern County Library,35.38347,-118.99084,1400 Baker Street,Bakersfield,93305,Kern,(661) 861-2390
Boron Branch Library,Kern County Library,34.99983,-117.65076,26967 Twenty Mule Team Road,Boron,93516,Kern,(760) 762-5606
Buttonwillow Branch Library,Kern County Library,35.40065,-119.46993,101 Main St,Buttonwillow,93206,Kern,(661) 764-5337
California City Branch Library,Kern County Library,35.12648,-117.95835,9507 California City Blvd.,California City,93505,Kern,(760) 373-4757
Delano Branch Library,Kern County Library,35.76947,-119.24465,925 Tenth Avenue,Delano,93215,Kern,(661) 725-1078
Eleanor N. Wilson Branch Library,Kern County Library,35.33189,-119.02376,1901 Wilson Road,Bakersfield,93304,Kern,(661) 834-4044
Frazier Park Branch Library,Kern County Library,34.81924,-118.94845,3732 Park Drive,Frazier Park,93225,Kern,(661) 245-1267
Holloway-Gonzales Branch Library,Kern County Library,35.35424,-118.99840,506 E. Brundage Lane,Bakersfield,93307,Kern,(661) 861-2083
Beale Memorial Library,Kern County Library,35.37267,-119.01005,701 Truxtun Avenue,Bakersfield,93301,Kern,(661) 868-0701
Kern River Valley Branch Library,Kern County Library,35.63772,-118.46687,7054 Lake Isabella Blvd.,Lake Isabella,93240,Kern,(760) 549-2083
Lamont Branch Library,Kern County Library,35.25642,-118.91128,8304 Segrue Road,Lamont,93241,Kern,(661) 845-3471
Mcfarland Branch Library,Kern County Library,35.67829,-119.23430,500 W. Kern Avenue,Mcfarland,93250,Kern,(661) 792-2318
Mojave Branch Library,Kern County Library,35.04881,-118.16766,15555 O St,Mojave,93501,Kern,(661) 824-2243
Northeast Branch Library,Kern County Library,35.39876,-118.95106,2671 Oswell Street,Bakersfield,93306,Kern,(661) 871-9017
Rathbun Branch Library,Kern County Library,35.42712,-119.02407,200 W. China Grade Loop,Bakersfield,93308,Kern,(661) 393-6431
Ridgecrest Branch Library,Kern County Library,35.62902,-117.66865,131 E. Las Flores Avenue,Ridgecrest,93555,Kern,(760) 384-5870
Rosamond Branch Library,Kern County Library,34.86431,-118.19537,3611 Rosamond Blvd.,Rosamond,93560,Kern,(661) 256-3236
Southwest Branch Library,Kern County Library,35.33934,-119.09553,8301 Ming Avenue,Bakersfield,93311,Kern,(661) 664-7716
Taft Branch Library,Kern County Library,35.14933,-119.45919,27 Cougar Court,Taft,93268,Kern,(661) 763-3294
Tehachapi Branch Library,Kern County Library,35.13055,-118.44759,212 Green Street,Tehachapi,93561,Kern,(661) 822-4938
Wasco Branch Library,Kern County Library,35.59715,-119.33843,1102 -7Th Street,Wasco,93280,Kern,(661) 758-2114
Armona Community Library,Kings County Library,36.31184,-119.70662,11115 C St.,Armona,93202,Kings,(559) 583-5005
Avenal Library,Kings County Library,36.00286,-120.13074,501 E. Kings St.,Avenal,93204,Kings,(559) 386-5741
Corcoran Library,Kings County Library,36.09947,-119.55930,1001-A Chittenden,Corcoran,93212,Kings,(559) 992-3314
Hanford Library,Kings County Library,36.32934,-119.64533,401 N. Douty St.,Hanford,93230,Kings,(559) 582-0261
Kettleman City Library,Kings County Library,36.00686,-119.96023,105 Becky Pease St.,Kettleman City,93239,Kings,(559) 386-9804
Lemoore Library,Kings County Library,36.29999,-119.78752,457 C St.,Lemoore,93245,Kings,(559) 924-2188
Stratford,Kings County Library,36.18941,-119.82352,20300 Main St.,Stratford,93266,Kings,(559) 947-3003
A C Bilbrew Library,LA County Library,33.91608,-118.27230,150 East El Segundo Blvd.,Los Angeles,90061,Los Angeles,(310) 538-3350
Acton Agua Dulce,LA County Library,34.49503,-118.19742,33792 Crown Valley Rd.,Acton,93510,Los Angeles,(661) 269-7101
Agoura Hills Library,LA County Library,34.14458,-118.77568,29901 Ladyface Court,Agoura Hills,91301,Los Angeles,(818) 889-2278
Alondra Library,LA County Library,33.88791,-118.07850,11949 Alondra Blvd.,Norwalk,90650,Los Angeles,(562) 868-7771
Angelo M. Iacoboni Library,LA County Library,33.84869,-118.13339,4990 Clark Ave.,Lakewood,90712,Los Angeles,(562) 866-1777
Anthony Quinn Library,LA County Library,34.04074,-118.18021,3965 Cesar E. Chavez Ave.,Los Angeles,90063,Los Angeles,(323) 264-7715
Artesia Library,LA County Library,33.86038,-118.07718,18801 Elaine Ave.,Artesia,90701,Los Angeles,(562) 865-6614
Avalon Library,LA County Library,33.34311,-118.32717,215 Sumner Ave.,Avalon,90704,Los Angeles,(310) 510-1050
Baldwin Park Library,LA County Library,34.08801,-117.96526,4181 Baldwin Park Blvd.,Baldwin Park,91706,Los Angeles,(626) 962-6947
Bell Gardens Library,LA County Library,33.96666,-118.15053,7110 S. Garfield Ave.,Bell Gardens,90201,Los Angeles,(562) 927-1309
Bell Library,LA County Library,33.97839,-118.18857,4411 East Gage Ave.,Bell,90201,Los Angeles,(323) 560-2149
Carson Library,LA County Library,33.83217,-118.27632,151 East Carson St.,Carson,90745,Los Angeles,(310) 830-0901
Castaic Library,LA County Library,34.49578,-118.62687,27971 Sloan Canyon Road,Castaic,91384,Los Angeles,(661) 257-7410
Charter Oak Library,LA County Library,34.10604,-117.85363,"20540 E. Arrow Hwy., Suite K",Covina,91724,Los Angeles,(626) 339-2151
Chet Holifield Library,LA County Library,33.99329,-118.12009,1060 South Greenwood Ave.,Montebello,90640,Los Angeles,(323) 728-0421
City Terrace Library,LA County Library,34.05598,-118.17808,4025 East City Terrace Dr.,Los Angeles,90063,Los Angeles,(323) 261-0295
Claremont Helen Renwick Library,LA County Library,34.09589,-117.71603,208 North Harvard Ave.,Claremont,91711,Los Angeles,(909) 621-4902
Clifton M. Brakensiek Library,LA County Library,33.88245,-118.12150,9945 E. Flower St.,Bellflower,90706,Los Angeles,(562) 925-5543
Compton Library,LA County Library,33.89544,-118.22571,240 West Compton Blvd.,Compton,90220,Los Angeles,(310) 637-0202
Cudahy Library,LA County Library,33.95940,-118.17460,5218 Santa Ana St.,Cudahy,90201,Los Angeles,(323) 771-1345
Culver City Julian Dixon Library,LA County Library,34.00762,-118.39707,4975 Overland Ave.,Culver City,90230,Los Angeles,(310) 559-1676
Diamond Bar Library,LA County Library,33.99907,-117.83071,21800 Copley Dr.,Diamond Bar,91765,Los Angeles,(909) 861-4978
"Dr. Martin Luther King, Jr. Library",LA County Library,33.86766,-118.26568,17906 South Avalon Blvd.,Carson,90746,Los Angeles,(310) 327-4830
Duarte Library,LA County Library,34.13811,-117.97789,1301 Buena Vista St.,Duarte,91010,Los Angeles,(626) 358-1865
East Los Angeles Library,LA County Library,34.03399,-118.15972,4837 East Third St.,Los Angeles,90022,Los Angeles,(323) 264-0155
East Rancho Dominguez Library,LA County Library,33.89637,-118.19761,4205 East Compton Blvd.,East Rancho Domingue,90221,Los Angeles,(310) 632-6193
El Camino Real Library,LA County Library,34.02369,-118.17777,4264 East Whittier Blvd.,Los Angeles,90023,Los Angeles,(323) 269-8102
El Monte Library,LA County Library,34.06710,-118.03572,3224 Tyler Ave.,El Monte,91731,Los Angeles,(626) 444-9506
Florence Library,LA County Library,33.97450,-118.24512,1610 East Florence Ave.,Los Angeles,90001,Los Angeles,(323) 581-8028
Gardena Mayme Dear Library,LA County Library,33.88218,-118.30752,1731 West Gardena Blvd.,Gardena,90247,Los Angeles,(310) 323-6363
George Nye Jr. Library,LA County Library,33.84622,-118.10329,6600 Del Amo Blvd.,Lakewood,90713,Los Angeles,(562) 421-8497
Graham Library,LA County Library,33.95993,-118.23833,1900 East Firestone Blvd.,Los Angeles,90001,Los Angeles,(323) 582-2903
Hacienda Heights Library,LA County Library,33.99354,-117.96412,16010 La Monde St.,Hacienda Heights,91745,Los Angeles,(626) 968-9356
Hawaiian Gardens Library,LA County Library,33.83117,-118.07802,11940 Carson Street,Hawaiian Gardens,90716,Los Angeles,(562) 496-1212
Hawthorne Library,LA County Library,33.91721,-118.35450,12700 Grevillea Ave.,Hawthorne,90250,Los Angeles,(310) 679-8193
Hermosa Beach Library,LA County Library,33.86427,-118.39559,550 Pier Ave.,Hermosa Beach,90254,Los Angeles,(310) 379-8475
Hollydale Library,LA County Library,33.91773,-118.16872,12000 South Garfield Ave.,South Gate,90280,Los Angeles,(562) 634-0156
Huntington Park Library,LA County Library,33.98038,-118.21876,6518 Miles Ave.,Huntington Park,90255,Los Angeles,(323) 583-1461
La Canada Flintridge Library,LA County Library,34.20283,-118.19404,4545 North Oakwood Ave.,La Canada Flintridge,91011,Los Angeles,(818) 790-3330
La Crescenta Library,LA County Library,34.22468,-118.24037,2809 Foothill Blvd,La Crescenta,91214,Los Angeles,(818) 248-5313
La Mirada Library,LA County Library,33.90580,-118.01096,13800 La Mirada Blvd.,La Mirada,90638,Los Angeles,(562) 943-0277
La Puente Library,LA County Library,34.01936,-117.95112,15920 East Central Ave.,La Puente,91744,Los Angeles,(626) 968-4613
La Verne Library,LA County Library,34.11138,-117.76418,3640 D. St.,La Verne,91750,Los Angeles,(909) 596-1934
Lake Los Angeles Library,LA County Library,34.61702,-117.82772,"16921 East Ave. O, #A",Palmdale,93591,Los Angeles,(661) 264-0593
Lancaster Library,LA County Library,34.69848,-118.14025,601 W. Lancaster Blvd,Lancaster,93534,Los Angeles,(661) 948-5029
Lawndale Library,LA County Library,33.89852,-118.35446,14615 Burin Ave.,Lawndale,90260,Los Angeles,(310) 676-0177
Leland R. Weaver Library,LA County Library,33.94409,-118.20158,4035 Tweedy Blvd.,South Gate,90280,Los Angeles,(323) 567-8853
Lennox Library,LA County Library,33.93846,-118.35227,4359 Lennox Blvd,Lennox,90304,Los Angeles,(310) 674-0385
Littlerock Library,LA County Library,34.51992,-117.98874,35119 80Th Street East,Littlerock,93543,Los Angeles,(661) 944-4138
Live Oak Library,LA County Library,34.11013,-118.01310,4153 East Live Oak Ave.,Arcadia,91006,Los Angeles,(626) 446-8803
Lloyd Taber-Marina Del Rey Library,LA County Library,33.98289,-118.44311,4533 Admiralty Way,Marina Del Rey,90292,Los Angeles,(310) 821-3415
Lomita Library,LA County Library,33.80527,-118.31912,24200 Narbonne Ave.,Lomita,90717,Los Angeles,(310) 539-4515
Los Nietos Library,LA County Library,33.96473,-118.07317,8511 Duchess Dr.,Whittier,90606,Los Angeles,(562) 695-0708
Lynwood Library,LA County Library,33.92720,-118.19907,11320 Bullis Rd.,Lynwood,90262,Los Angeles,(310) 635-7121
Malibu Library,LA County Library,34.03697,-118.68863,23519 West Civic Center Way,Malibu,90265,Los Angeles,(310) 456-6438
Manhattan Beach Library,LA County Library,33.88690,-118.41038,1320 Highland Ave.,Manhattan Beach,90266,Los Angeles,(310) 545-8595
Masao W. Satow Library,LA County Library,33.90001,-118.32697,14433 South Crenshaw Blvd.,Gardena,90249,Los Angeles,(310) 679-0638
Maywood Cesar Chavez Library,LA County Library,33.98776,-118.18899,4323 East Slauson Ave.,Maywood,90270,Los Angeles,(323) 771-8600
Montebello Library,LA County Library,34.02076,-118.11547,1550 West Beverly Blvd.,Montebello,90640,Los Angeles,(323) 722-6551
Norwalk Library,LA County Library,33.91668,-118.06938,12350 Imperial Hwy.,Norwalk,90650,Los Angeles,(562) 868-0775
Norwood Library,LA County Library,34.08698,-118.01614,4550 North Peck Rd.,El Monte,91732,Los Angeles,(626) 443-3147
Paramount Library,LA County Library,33.88567,-118.16100,16254 Colorado Ave.,Paramount,90723,Los Angeles,(562) 630-3171
Pico Rivera Library,LA County Library,33.99202,-118.08927,9001 Mines Ave.,Pico Rivera,90660,Los Angeles,(562) 942-7394
Quartz Hill Library,LA County Library,34.64621,-118.21817,42018 N. 50Th St. W.,Quartz Hill,93536,Los Angeles,(661) 943-2454
Rivera Library,LA County Library,33.96897,-118.10107,7828 S. Serapis Ave.,Pico Rivera,90660,Los Angeles,(562) 949-5485
Rosemead Library,LA County Library,34.08023,-118.07724,8800 Valley Blvd.,Rosemead,91770,Los Angeles,(626) 573-5220
Rowland Heights Library,LA County Library,33.98446,-117.88856,1850 Nogales St.,Rowland Heights,91748,Los Angeles,(626) 912-5348
San Dimas Library,LA County Library,34.10809,-117.80321,145 North Walnut Ave.,San Dimas,91773,Los Angeles,(909) 599-6738
San Fernando Library,LA County Library,34.28562,-118.43860,217 N. Maclay Ave.,San Fernando,91340,Los Angeles,(818) 365-6928
San Gabriel Library,LA County Library,34.09578,-118.09933,500 South Del Mar Ave.,San Gabriel,91776,Los Angeles,(626) 287-0761
Sorensen Library,LA County Library,33.97950,-118.06238,6934 Broadway Ave.,Whittier,90606,Los Angeles,(562) 695-3979
South El Monte Library,LA County Library,34.04480,-118.04665,1430 N. Central Ave.,South El Monte,91733,Los Angeles,(626) 443-4158
South Whittier Library,LA County Library,33.92549,-118.02456,11543 Colima Rd,Whittier,90604,Los Angeles,(562) 946-4415
Stevenson Ranch Express Library,LA County Library,34.39322,-118.57280,25950 The Old Road,Stevenson Ranch,91381,Los Angeles,(661) 287-5954
Sunkist Library,LA County Library,34.05524,-117.97675,840 North Puente Ave.,La Puente,91746,Los Angeles,(626) 960-2707
Temple City Library,LA County Library,34.10839,-118.05717,5939 Golden West Ave.,Temple City,91780,Los Angeles,(626) 285-2136
Topanga,LA County Library,34.08991,-118.60341,122 N. Topanga Canyon Blvd.,Topanga,90290,Los Angeles,(310) 455-3480
View Park Bebe Moore Campbell Library,LA County Library,33.99281,-118.34122,3854 West 54Th St.,Los Angeles,90043,Los Angeles,(323) 293-5371
Walnut Library,LA County Library,34.02596,-117.84369,21155 La Puente Rd.,Walnut,91789,Los Angeles,(909) 595-0757
West Covina Library,LA County Library,34.07106,-117.94037,1601 West Covina Pkwy.,West Covina,91790,Los Angeles,(626) 962-3541
West Hollywood Library,LA County Library,34.08168,-118.38427,625 North San Vicente Blvd.,West Hollywood,90069,Los Angeles,(310) 652-5340
Westlake Village Library,LA County Library,34.14455,-118.79901,31220 W. Oak Crest Drive,Westlake Village,91361,Los Angeles,(818) 865-9230
Willowbrook Library,LA County Library,33.92664,-118.23935,11737 Wilmington Ave.,Los Angeles,90059,Los Angeles,(323) 564-5698
Wiseburn Library,LA County Library,33.90979,-118.37345,5335 West 135Th St.,Hawthorne,90250,Los Angeles,(310) 643-8880
Woodcrest Library,LA County Library,33.93982,-118.29994,1340 West 106Th St.,Los Angeles,90044,Los Angeles,(323) 757-9373
Lake County Library,Lake County Library,39.05148,-122.91744,1425 N. High,Lakeport,95453,Lake,(707) 263-8817
Middletown Library,Lake County Library,38.74998,-122.61520,21256 Washington Street,Middletown,95461,Lake,(707) 987-3674
Redbud Library,Lake County Library,38.96501,-122.63419,14785 Burns Valley Rd.,Clearlake,95422,Lake,(707) 994-5115
Upper Lake Library,Lake County Library,39.16606,-122.91015,310 Second St.,Upper Lake,95485,Lake,(707) 275-2049
Larkspur Public Library,Larkspur Public Library,37.93430,-122.53531,400 Magnolia Ave,Larkspur,94939,Marin,(415) 927-5005
Lassen Library District,Lassen Library District,40.41487,-120.64943,1618 Main St.,Susanville,96130,Lassen,(530) 251-8127
Twelve Bridges,Lincoln Public Library,38.84979,-121.29229,485 Twelve Bridges Drive,Lincoln,95648,Placer,(916) 434-2410
Civic Center Library,Livermore Public Library,37.67424,-121.75429,1188 S. Livermore Ave.,Livermore,94550,Alameda,(925) 373-5500
Rincon Branch Library,Livermore Public Library,37.68651,-121.78488,725 Rincon Ave.,Livermore,94551,Alameda,(925) 373-5540
Springtown Branch Library,Livermore Public Library,37.70690,-121.73738,998 Bluebell Dr.,Livermore,94551,Alameda,(925) 373-5517
Lodi Public Library,Lodi Public Library,38.13709,-121.27542,201 W. Locust Street,Lodi,95240,San Joaquin,(209) 333-5566
Lompoc Public Library,Lompoc Public Library,34.65372,-120.45201,501 E. North Ave.,Lompoc,93436,Santa Barbara,(805) 875-8775
Village Branch Library,Lompoc Public Library,34.70036,-120.46670,3755 Constellation Road,Lompoc,93436,Santa Barbara,(805) 733-3323
Alamitos Branch Library,Long Beach Public Library,33.76886,-118.16856,1836 E. Third St.,Long Beach,90802,Los Angeles,(562) 570-1037
Bach Branch Library,Long Beach Public Library,33.83187,-118.12557,4055 Bellflower Blvd.,Long Beach,90808,Los Angeles,(562) 570-1038
Bay Shore Branch Library,Long Beach Public Library,33.75804,-118.13051,195 Bay Shore Ave.,Long Beach,90803,Los Angeles,(562) 570-1039
Bret Harte Branch Library,Long Beach Public Library,33.80459,-118.21407,1595 W. Willow St.,Long Beach,90810,Los Angeles,(562) 570-1044
Brewitt Branch Library,Long Beach Public Library,33.78238,-118.14514,4036 E. Anaheim St.,Long Beach,90804,Los Angeles,(562) 570-1040
Burnett Branch Library,Long Beach Public Library,33.79685,-118.18573,560 E. Hill St.,Long Beach,90806,Los Angeles,(562) 570-1041
Dana Branch Library,Long Beach Public Library,33.82406,-118.18472,3680 Atlantic Ave.,Long Beach,90807,Los Angeles,(562) 570-1042
El Dorado Branch Library,Long Beach Public Library,33.80890,-118.09860,2900 Studebaker Rd.,Long Beach,90815,Los Angeles,(562) 570-3136
Billie Jean King Main Library,Long Beach Public Library,33.76923,-118.19438,200 W. Broadway,Long Beach,90802,Los Angeles,(562) 570-7500
Los Altos Branch Library,Long Beach Public Library,33.79337,-118.12254,5614 Britton Dr.,Long Beach,90815,Los Angeles,(562) 570-1045
Mark Twain Branch Library,Long Beach Public Library,33.78289,-118.17343,1401 E. Anaheim St.,Long Beach,90813,Los Angeles,(562) 570-1046
Michelle Obama Neighborhood Library,Long Beach Public Library,33.86153,-118.18458,5870 Atlantic Ave.,Long Beach,90805,Los Angeles,(562) 570-1047
Loomis Library & Community Learning Center,Loomis Library & Community Learning Center,38.82000,-121.19055,6050 Library Dr.,Loomis,95650,Placer,(916) 824-2905
Angeles Mesa Branch,Los Angeles Public Library,33.99483,-118.32286,2700 W. 52Nd St.,Los Angeles,90043,Los Angeles,(323) 292-4328
Arroyo Seco Regional Branch,Los Angeles Public Library,34.11383,-118.18633,6145 N. Figueroa St.,Los Angeles,90042,Los Angeles,(323) 255-0537
Ascot Branch,Los Angeles Public Library,33.97436,-118.27463,120 W. Florence Ave.,Los Angeles,90003,Los Angeles,(323) 759-4817
Atwater Village Branch,Los Angeles Public Library,34.12013,-118.25919,3379 Glendale Blvd.,Los Angeles,90039,Los Angeles,(323) 664-1353
Baldwin Hills Branch,Los Angeles Public Library,34.02821,-118.35265,2906 S. La Brea,Los Angeles,90016,Los Angeles,(323) 733-1196
Benjamin Franklin Branch,Los Angeles Public Library,34.04404,-118.21223,2200 E. First St.,Los Angeles,90033,Los Angeles,(323) 263-6901
Donald Bruce Kaufman Brentwood Branch,Los Angeles Public Library,34.05267,-118.46874,11820 San Vicente Blvd.,Los Angeles,90049,Los Angeles,(310) 575-8273
Cahuenga Branch,Los Angeles Public Library,34.09104,-118.28895,4591 Santa Monica Blvd.,Los Angeles,90029,Los Angeles,(323) 664-6418
Canoga Park Branch,Los Angeles Public Library,34.20136,-118.59015,20939 Sherman Way,Canoga Park,91303,Los Angeles,(818) 887-0320
Chatsworth,Los Angeles Public Library,34.25700,-118.59246,21052 Devonshire St,Chatsworth,91311,Los Angeles,(818) 341-4276
Chinatown Branch,Los Angeles Public Library,34.06066,-118.24107,639 N. Hill St.,Los Angeles,90012,Los Angeles,(213) 620-0925
Cypress Park Branch,Los Angeles Public Library,34.09446,-118.22745,1150 Cypress Ave.,Los Angeles,90065,Los Angeles,(323) 224-0039
Will and Ariel Durant Branch,Los Angeles Public Library,34.09773,-118.34566,7140 W. Sunset Blvd.,Los Angeles,90046,Los Angeles,(323) 876-2741
Eagle Rock Branch,Los Angeles Public Library,34.13758,-118.21361,5027 Caspar Ave.,Los Angeles,90041,Los Angeles,(323) 250-7808
Echo Park Library,Los Angeles Public Library,34.06722,-118.25724,1410 W. Temple St.,Los Angeles,90026,Los Angeles,(213) 250-7808
Edendale Branch,Los Angeles Public Library,34.07817,-118.26232,2011 W. Sunset Blvd.,Los Angeles,90026,Los Angeles,(213) 207-3000
El Sereno Branch,Los Angeles Public Library,34.08922,-118.16851,5226 Huntington Dr. South,Los Angeles,90032,Los Angeles,(323) 225-9201
Encino-Tarzana Library,Los Angeles Public Library,34.16677,-118.53005,18231 Ventura Blvd.,Tarzana,91356,Los Angeles,(818) 343-1983
Exposition Park Regional Branch,Los Angeles Public Library,34.01440,-118.30862,3900 S. Western Ave.,Los Angeles,90062,Los Angeles,(323) 290-3113
Fairfax Branch,Los Angeles Public Library,34.07177,-118.35359,161 S. Gardner St.,Los Angeles,90036,Los Angeles,(323) 936-6191
Felipe De Neve Branch,Los Angeles Public Library,34.06331,-118.28397,2820 W. Sixth St.,Los Angeles,90057,Los Angeles,(213) 384-7676
Granada Hills Branch,Los Angeles Public Library,34.26428,-118.49762,10640 Petit Ave.,Granada Hills,91344,Los Angeles,(818) 368-5687
Harbor City-Harbor Gateway,Los Angeles Public Library,33.80695,-118.30731,24000 S. Western Ave.,Harbor City,90710,Los Angeles,(310) 534-9520
Goldwyn Hollywood Regional Branch,Los Angeles Public Library,34.10052,-118.32871,1623 Ivar Ave.,Los Angeles,90028,Los Angeles,(323) 856-8260
Hyde Park Branch,Los Angeles Public Library,33.97478,-118.31820,2205 Florence Av,Los Angeles,90043,Los Angeles,(323) 750-7241
Jefferson Branch,Los Angeles Public Library,34.02593,-118.31921,2211 W. Jefferson Blvd.,Los Angeles,90018,Los Angeles,(323) 734-8573
John C. Fremont Branch,Los Angeles Public Library,34.08371,-118.33382,6121 Melrose Ave.,Los Angeles,90038,Los Angeles,(323) 962-3521
John Muir Branch,Los Angeles Public Library,33.98152,-118.29208,1005 W. 64Th St.,Los Angeles,90044,Los Angeles,(323) 789-4800
Junipero Serra Branch,Los Angeles Public Library,34.00173,-118.27437,4607 S. Main St.,Los Angeles,90037,Los Angeles,(323) 234-1685
Lake View Terrace,Los Angeles Public Library,34.27277,-118.39391,12002 Osborne St.,Lake View Terrace,91342,Los Angeles,(818) 890-7404
Lincoln Heights Branch,Los Angeles Public Library,34.07616,-118.21401,2530 Workman St.,Los Angeles,90031,Los Angeles,(323) 226-1692
Little Tokyo Branch Library,Los Angeles Public Library,34.05007,-118.24380,203 S. Los Angeles Street,Los Angeles,90012,Los Angeles,(213) 612-0525
Los Feliz Branch,Los Angeles Public Library,34.10507,-118.28715,1874 Hillhurst Ave.,Los Angeles,90027,Los Angeles,(323) 913-4710
Malabar Branch,Los Angeles Public Library,34.05074,-118.19777,2801 Wabash Ave.,Los Angeles,90033,Los Angeles,(323) 263-1497
Mark Twain Branch,Los Angeles Public Library,33.94844,-118.28298,9621 S. Figueroa St.,Los Angeles,90039,Los Angeles,(323) 755-4088
Mar Vista Branch,Los Angeles Public Library,34.00570,-118.42904,12006 Venice Blvd.,Los Angeles,90066,Los Angeles,(310) 390-3454
Memorial Branch,Los Angeles Public Library,34.05735,-118.33157,4625 W. Olympic Blvd.,Los Angeles,90019,Los Angeles,(323) 938-2732
Mid-Valley Regional Branch,Los Angeles Public Library,34.23512,-118.48740,16244 Nordhoff St.,North Hills,91343,Los Angeles,(818) 895-3650
North Hollywood Regional Branch,Los Angeles Public Library,34.16564,-118.37948,5211 Tujunga Ave.,North Hollywood,91601,Los Angeles,(818) 766-7185
Northridge Branch,Los Angeles Public Library,34.23509,-118.53410,9051 Darby Ave.,Northridge,91325,Los Angeles,(818) 886-3640
Pacoima Branch,Los Angeles Public Library,34.26129,-118.42932,13605 Van Nuys Blvd.,Pacoima,91331,Los Angeles,(818) 899-5203
Palisades Branch,Los Angeles Public Library,34.04400,-118.52513,861 Alma Real Dr.,Pacific Palisades,90272,Los Angeles,(310) 459-2754
Palms-Rancho Park Branch,Los Angeles Public Library,34.03364,-118.41824,2920 Overland Ave.,Los Angeles,90064,Los Angeles,(310) 840-2142
Panorama City Branch,Los Angeles Public Library,34.22193,-118.44641,14345 Roscoe Blvd.,Panorama City,91402,Los Angeles,(818) 894-4071
Pico Union Branch,Los Angeles Public Library,34.05094,-118.28009,1030 S. Alvarado St.,Los Angeles,90006,Los Angeles,(213) 368-7647
Pio Pico Koreatown Branch,Los Angeles Public Library,34.06004,-118.30711,694 S. Oxford,Los Angeles,90005,Los Angeles,(213) 368-7647
Platt Branch,Los Angeles Public Library,34.18623,-118.64136,23600 Victory Blvd.,Los Angeles,91367,Los Angeles,(818) 340-9386
Playa Vista Branch,Los Angeles Public Library,33.97021,-118.42560,6400 Playa Vista Drive,Playa Vista,90094,Los Angeles,(310) 437-6680
Porter Ranch Branch,Los Angeles Public Library,34.27763,-118.56005,11371 Tampa Ave.,Los Angeles,91326,Los Angeles,(818) 360-5706
Robert Louis Stevenson Branch,Los Angeles Public Library,34.02766,-118.19827,803 Spence St.,Los Angeles,90023,Los Angeles,(323) 268-4710
Robertson Branch,Los Angeles Public Library,34.04837,-118.38583,1719 S. Robertson Blvd.,Los Angeles,90035,Los Angeles,(310) 840-2147
San Pedro Regional Branch,Los Angeles Public Library,33.73574,-118.29295,931 S. Gaffey St.,San Pedro,90731,Los Angeles,(310) 548-7779
Sherman Oaks Branch,Los Angeles Public Library,34.15123,-118.44383,14245 Moorpark St.,Sherman Oaks,91423,Los Angeles,(818) 205-9716
Silver Lake Branch,Los Angeles Public Library,34.10034,-118.25965,2411 Glendale Blvd.,Los Angeles,90039,Los Angeles,(323) 913-7451
